iter	Passed	Remaining
678	3805	1799
679	3811	1793
680	3816	1787
681	3821	1781
682	3826	1776
683	3832	1770
684	3837	1764
685	3843	1759
686	3848	1753
687	3853	1747
688	3859	1741
689	3864	1736
690	3869	1730
691	3874	1724
692	3880	1718
693	3885	1713
694	3891	1707
695	3896	1701
696	3901	1696
697	3907	1690
698	3912	1684
699	3918	1679
700	3923	1673
701	3929	1667
702	3934	1662
703	3939	1656
704	3944	1650
705	3949	1644
706	3954	1638
707	3960	1633
708	3965	1627
709	3971	1622
710	3976	1616
711	3981	1610
712	3986	1604
713	3992	1599
714	3997	1593
715	4002	1587
716	4006	1581
717	4012	1575
718	4017	1570
719	4022	1564
720	4028	1558
721	4033	1552
722	4039	1547
723	4045	1542
724	4051	1536
725	4057	1531
726	4063	1525
727	4069	1520
728	4075	1514
729	4081	1509
730	4086	1503
731	4091	1498
732	4097	1492
733	4103	1486
734	4109	1481
735	4116	1476
736	4128	1473
737	4136	1468
738	4143	1463
739	4149	1457
740	4156	1452
741	4162	1447
742	4167	1441
743	4173	1436
744	4179	1430
745	4184	1424
746	4191	1419
747	4196	1413
748	4202	1408
749	4208	1402
750	4213	1396
751	4219	1391
752	4224	1385
753	4230	1380
754	4235	1374
755	4245	1370
756	4250	1364
757	4255	1358
758	4261	1353
759	4266	1347
760	4272	1341
761	4278	1336
762	4283	1330
763	4288	1324
764	4294	1319
765	4299	1313
766	4305	1307
767	4310	1302
768	4316	1296
769	4321	1290
770	4328	1285
771	4334	1280
772	4341	1274
773	4346	1269
774	4352	1263
775	4357	1257
776	4362	1252
777	4368	1246
778	4374	1241
779	4380	1235
780	4385	1229
781	4390	1224
782	4395	1218
783	4401	1212
784	4407	1207
785	4412	1201
786	4417	1195
787	4423	1190
788	4428	1184
789	4433	1178
790	4439	1172
791	4444	1167
792	4449	1161
793	4455	1155
794	4460	1150
795	4465	1144
796	4471	1138
797	4476	1133
798	4481	1127
799	4486	1121
800	4492	1116
801	4497	1110
802	4503	1104
803	4508	1099
804	4514	1093
805	4519	1087
806	4524	1082
807	4530	1076
808	4535	1070
809	4540	1065
810	4546	1059
811	4551	1053
812	4557	1048
813	4562	1042
814	4567	1036
815	4573	1031
816	4578	1025
817	4583	1019
818	4588	1014
819	4593	1008
820	4598	1002
821	4604	997
822	4609	991
823	4614	985
824	4620	980
825	4625	974
826	4630	968
827	4635	962
828	4641	957
829	4646	951
830	4652	946
831	4657	940
832	4662	934
833	4668	929
834	4674	923
835	4679	917
836	4684	912
837	4690	906
838	4695	900
839	4700	895
840	4706	889
841	4711	884
842	4717	878
843	4722	872
844	4728	867
845	4733	861
846	4738	855
847	4743	850
848	4749	844
849	4754	839
850	4759	833
851	4764	827
852	4770	822
853	4776	816
854	4781	810
855	4787	805
856	4792	799
857	4798	794
858	4803	788
859	4809	782
860	4813	777
861	4819	771
862	4825	765
863	4830	760
864	4835	754
865	4841	749
866	4847	743
867	4854	738
868	4860	732
869	4866	727
870	4872	721
871	4879	716
872	4884	710
873	4889	704
874	4895	699
875	4901	693
876	4906	688
877	4911	682
878	4917	676
879	4922	671
880	4927	665
881	4932	659
882	4938	654
883	4943	648
884	4948	643
885	4954	637
886	4959	631
887	4964	626
888	4970	620
889	4975	614
890	4980	609
891	4986	603
892	4991	598
893	4996	592
894	5002	586
895	5007	581
896	5013	575
897	5019	570
898	5024	564
899	5032	559
900	5038	553
901	5044	548
902	5050	542
903	5055	536
904	5061	531
905	5066	525
906	5072	520
907	5078	514
908	5083	508
909	5089	503
910	5094	497
911	5100	492
912	5105	486
913	5111	480
914	5117	475
915	5123	469
916	5130	464
917	5135	458
918	5141	453
919	5147	447
920	5153	442
921	5158	436
922	5163	430
923	5169	425
924	5174	419
925	5179	413
926	5185	408
927	5190	402
928	5195	397
929	5201	391
930	5206	385
931	5212	380
932	5217	374
933	5222	369
934	5228	363
935	5233	357
936	5239	352
937	5244	346
938	5250	341
939	5255	335
940	5260	329
941	5265	324
942	5271	318
943	5276	313
944	5282	307
945	5287	301
946	5293	296
947	5298	290
948	5304	285
949	5309	279
950	5315	273
951	5322	268
952	5329	262
953	5335	257
954	5341	251
955	5346	246
956	5352	240
957	5357	234
958	5363	229
959	5370	223
960	5375	218
961	5380	212
962	5386	206
963	5391	201
964	5396	195
965	5401	190
966	5407	184
967	5412	178
968	5417	173
969	5422	167
970	5428	162
971	5433	156
972	5439	150
973	5444	145
974	5450	139
975	5455	134
976	5460	128
977	5466	122
978	5472	117
979	5477	111
980	5483	106
981	5489	100
982	5495	95
983	5500	89
984	5506	83
985	5512	78
986	5517	72
987	5523	67
988	5528	61
989	5534	55
990	5539	50
991	5545	44
992	5551	39
993	5556	33
994	5562	27
995	5568	22
996	5574	16
997	5579	11
998	5584	5
999	5590	0
